operation	pan_state	expiry_date	card_status	amount_vs_balance	request_body
update	existing_valid	invalid_format	INACTIVE	below	valid
create	existing_valid	future_mmyy	DELETED	equal	missing_required
get	existing_valid	expired_mmyy	ACTIVE	above	partial_update
create	nonexistent	expired_mmyy	ACTIVE	equal	valid
update	invalid_format	future_mmyy	BLOCKED	below	partial_update
create	nonexistent	invalid_format	BLOCKED	below	missing_required
get	nonexistent	invalid_format	DELETED	above	partial_update
get	invalid_format	expired_mmyy	BLOCKED	below	valid
get	invalid_format	future_mmyy	INACTIVE	above	missing_required
reserve	existing_valid	future_mmyy	ACTIVE	below	valid
create	invalid_format	expired_mmyy	DELETED	above	valid
update	nonexistent	expired_mmyy	DELETED	below	missing_required
update	nonexistent	expired_mmyy	INACTIVE	above	partial_update
update	invalid_format	invalid_format	BLOCKED	equal	partial_update
create	nonexistent	future_mmyy	INACTIVE	equal	valid
get	invalid_format	invalid_format	ACTIVE	equal	missing_required
reserve	existing_valid	invalid_format	ACTIVE	equal	valid
get	existing_valid	expired_mmyy	BLOCKED	above	valid
reserve	existing_valid	expired_mmyy	ACTIVE	below	valid
update	invalid_format	future_mmyy	ACTIVE	above	valid
