card_status	expiry	amount_vs_daily	amount_vs_monthly	amount_vs_balance	terminal_type	mcc	response
ACTIVE	future	below	below	below	POS	grocery	ok
ACTIVE	current_month	equal	equal	equal	ATM	restaurant	ok
ACTIVE	future	above	above	above	ECOM	electronics	ok
ACTIVE	future	below	below	below	ATM	travel	card_not_found
ACTIVE	future	below	below	below	ECOM	restaurant	cms_timeout
ACTIVE	current_month	equal	above	above	POS	travel	ok
ACTIVE	current_month	above	below	equal	POS	electronics	ok
ACTIVE	future	equal	equal	equal	ECOM	grocery	ok
ACTIVE	expired	below	below	below	ATM	electronics	ok
ACTIVE	current_month	below	above	above	ATM	grocery	ok
ACTIVE	current_month	above	equal	below	ECOM	travel	ok
INACTIVE	future	below	below	below	POS	restaurant	ok
BLOCKED	future	below	below	below	POS	grocery	ok
EXPIRED	future	below	below	below	POS	grocery	ok
ACTIVE	future	below	equal	equal	POS	electronics	ok
ACTIVE	future	above	below	above	ATM	restaurant	ok
ACTIVE	future	equal	below	below	POS	electronics	ok
ACTIVE	future	below	below	below	POS	grocery	card_not_found
ACTIVE	future	below	below	below	POS	grocery	cms_timeout
ACTIVE	future	below	below	below	ATM	electronics	cms_timeout
ACTIVE	future	below	below	below	ECOM	restaurant	card_not_found
ACTIVE	future	below	above	below	POS	restaurant	ok
ACTIVE	future	below	above	equal	POS	travel	ok
ACTIVE	future	above	equal	above	POS	grocery	ok
ACTIVE	expired	below	below	below	POS	grocery	ok
ACTIVE	expired	below	below	below	ECOM	restaurant	ok
INACTIVE	future	below	below	below	ATM	grocery	ok
INACTIVE	future	below	below	below	ECOM	electronics	ok
BLOCKED	future	below	below	below	ATM	restaurant	ok
BLOCKED	future	below	below	below	ECOM	electronics	ok
EXPIRED	future	below	below	below	ATM	restaurant	ok
EXPIRED	future	below	below	below	ECOM	electronics	ok
ACTIVE	future	below	below	below	POS	electronics	card_not_found
ACTIVE	future	below	below	below	POS	travel	cms_timeout
ACTIVE	expired	below	below	below	POS	travel	ok
INACTIVE	future	below	below	below	POS	travel	ok
BLOCKED	future	below	below	below	POS	travel	ok
EXPIRED	future	below	below	below	POS	travel	ok
